n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,Exact,,,,20,20,0.1504521071910858,0.037352617830038,0.1306710839271545,0.0388820245862007
50,SG,Exact,,,,20,10,0.1537081748247146,0.0384130589663982,0.1328279227018356,0.0367637872695922
50,classic,IMLE,1.0,20.0,2.0,5,15,0.1724610179662704,0.042123720049858,0.1309136748313903,0.0377875082194805
50,classic,IMLE,1.0,1.0,2.0,5,15,0.2262623459100723,0.044551994651556,0.2083409130573272,0.0480870567262172
50,classic,IMLE,1.0,20.0,0.5,5,15,0.2228762209415435,0.0450730323791503,0.2302442491054535,0.0499687455594539
50,classic,IMLE,1.0,5.0,0.1,5,15,0.2346378713846206,0.0470022037625312,0.2303754389286041,0.0490774624049663
50,classic,IMLE,1.0,5.0,1.0,5,15,0.1387992948293686,0.0392751581966877,0.1224580779671669,0.0368221662938594
50,classic,IMLE,1.0,1.0,1.0,5,15,0.1376791447401046,0.0366273634135723,0.1222110167145729,0.0362256430089473
50,classic,IMLE,1.0,5.0,0.5,5,15,0.2332977652549743,0.0509011000394821,0.228994220495224,0.0510478690266609
50,classic,IMLE,1.0,20.0,1.0,5,15,0.1386207789182663,0.0387238748371601,0.1221521869301796,0.0375207662582397
50,classic,IMLE,1.0,20.0,0.1,5,15,0.2354214787483215,0.0472263358533382,0.2278625518083572,0.0491030998528003
50,classic,IMLE,1.0,1.0,0.5,5,15,0.2230301797389984,0.0435399822890758,0.231406882405281,0.0505042746663093
50,SG,Exact,,,,20,30,0.1451905220746994,0.0396214984357357,0.130943477153778,0.0386892855167388
50,SG,Exact,,,,15,30,0.1487307101488113,0.0325782150030136,0.132837027311325,0.0385102145373821
50,SG,Exact,,,,5,10,0.1525560170412063,0.0388130731880664,0.1321763843297958,0.0370447561144828
50,SG,Exact,,,,15,20,0.1542104333639145,0.0394351109862327,0.133241131901741,0.0413542725145816
50,SG,Exact,,,,10,30,0.1484361290931701,0.0390581041574478,0.129420205950737,0.0376490838825702
50,SG,Exact,,,,10,20,0.1488445997238159,0.0346795618534088,0.1311071366071701,0.0391275063157081
50,classic,IMLE,5.0,1.0,1.0,5,15,0.1386891007423401,0.0398126095533371,0.1225153133273124,0.0369778573513031
50,classic,IMLE,5.0,10.0,2.0,5,15,0.1969634443521499,0.0431427732110023,0.1401781588792801,0.0368814840912818
50,classic,IMLE,5.0,1.0,0.5,5,15,0.2247284352779388,0.0412364937365055,0.2255210429430008,0.0482899434864521
50,classic,IMLE,5.0,10.0,0.1,5,15,0.2202504575252533,0.044600062072277,0.2263835072517395,0.0495813935995101
50,classic,IMLE,5.0,1.0,0.1,5,15,0.2257453948259353,0.0445476099848747,0.2296693474054336,0.0488303415477275
50,classic,IMLE,5.0,10.0,0.5,5,15,0.2301920503377914,0.0463208854198455,0.2255885303020477,0.0468045659363269
50,classic,IMLE,5.0,10.0,1.0,5,15,0.1339635103940963,0.032772958278656,0.1219252496957779,0.037013866007328
50,SG,Exact,,,,5,20,0.14866803586483,0.034689076244831,0.1316165924072265,0.038808349519968
50,classic,IMLE,1.0,5.0,2.0,5,15,0.2127867490053177,0.0454499386250972,0.169796735048294,0.0451341718435287
50,classic,IMLE,5.0,20.0,2.0,5,15,0.1679116636514663,0.0392868295311927,0.1285602301359176,0.0388718284666538
50,classic,IMLE,5.0,20.0,0.5,5,15,0.224009707570076,0.0467157885432243,0.2290750443935394,0.0465647689998149
50,classic,IMLE,5.0,1.0,2.0,5,15,0.2219440042972564,0.042878333479166,0.2018506228923797,0.0472836941480636
50,classic,IMLE,5.0,20.0,0.1,5,15,0.218683436512947,0.0391234867274761,0.2307597398757934,0.0486008897423744
